sample,time_s,raw_u16,code12,voltage_V
722,0.361012000,8722,545,0.439194
723,0.361512000,20997,1312,1.057299
724,0.362011000,40649,2540,2.046871
725,0.362511000,55725,3482,2.806020
726,0.363011000,58078,3629,2.924504
727,0.363510000,45835,2864,2.308011
728,0.364010000,26262,1641,1.322417
729,0.364510000,10162,635,0.511705
730,0.365010000,8610,538,0.433555
731,0.365510000,20869,1304,1.050854
732,0.366010000,40505,2531,2.039620
733,0.366510000,55853,3490,2.812465
734,0.367009000,58158,3634,2.928533
735,0.367509000,45819,2863,2.307205
736,0.368009000,27190,1699,1.369146
737,0.368509000,10850,678,0.546349
738,0.369008000,8322,520,0.419052
